RC1-after,,
wcA,DF,1stO Diff
11156.38,55.92,0.12
11175.63,56.07,0.15
11196.5,56.26,0.19
11217.65,56.36,0.1
11237.36,56.47,0.11
11256.83,56.6,0.13
11277.29,56.75,0.15
11299.16,56.84,0.09
11320.25,56.94,0.1
11341.81,57.16,0.22
11363.55,57.25,0.09
11385.5,57.37,0.12
11407.88,57.54,0.17
11429.44,57.61,0.07
11450.65,57.74,0.13
11473.22,57.9,0.16
11495.38,58.03,0.13
11516.29,58.17,0.14
11537.92,58.23,0.06
11541.4,58.2871831,0.057183099
11542.18,58.3,0.012816901
11558.86,58.34,0.04
11580.18,58.45,0.11
11602.51,58.62,0.17
11610.45,58.62,0
11633.94,58.75,0.13
11656.2,58.86,0.11
11677.17,59.03,0.17
11698.27,59.15,0.12
11720.44,59.3,0.15
11740.86,59.44,0.14
11759.84,59.5,0.06
11781.4,59.57,0.07
11802.52,59.69,0.12
11813.63,59.77,0.08
11836.24,59.85,0.08
11857.18,60.03,0.18
11879.07,60.12,0.09
11881.26,60.12,1.82E-12
11900.51,60.29,0.17
11922.24,60.46,0.17
11943.57,60.64,0.18
11963.23,60.7,0.06
11984.96,60.83,0.13
11987.49091,60.84090909,0.010909091
11987.64,60.84155172,0.000642633
12005.84,60.92,0.078448276
12027.58351,61.05350818,0.133508177
